"","year","male","region","race","bday_m_cutoff","stem","education","income","score","varsity","single_parent_hh"
"73",2010,1,1,1,140,0,15,62268,1320,0,1
"74",2010,0,1,2,125,0,9,44589,910,0,0
"75",2010,0,1,1,-48,0,9,43230,890,0,1
"76",2010,1,1,2,-115,0,16,63153,1390,1,0
"77",2010,0,1,3,167,0,7,39867,720,0,0
"78",2010,0,1,1,89,0,14,78093,1290,0,0
"79",2010,1,1,2,118,0,10,33635,920,0,1
"80",2010,0,1,1,-12,0,14,47620,1230,0,1
"81",2010,1,1,1,-20,0,14,69332,1260,0,0
"82",2010,1,1,1,-112,0,14,60451,1280,0,1
"83",2010,0,1,5,-72,0,11,42582,1040,0,0
"84",2010,1,1,1,-28,0,14,82304,1300,0,0
"85",2010,1,1,1,141,0,17,90258,1500,0,0
"86",2010,0,1,4,-38,0,10,67320,990,0,0
"87",2010,0,1,2,32,0,8,14988,790,0,1
"88",2010,0,1,2,79,0,12,39299,1110,0,0
"89",2010,0,1,1,45,0,8,39882,790,0,1
"90",2010,0,1,1,-54,0,10,53248,980,0,0
"91",2010,0,1,3,26,0,8,49029,810,0,0
"92",2010,0,1,1,105,0,14,61101,1280,1,0
"93",2010,1,1,1,73,0,12,68908,1140,0,0
"94",2010,1,1,1,29,0,14,59885,1240,1,1
"95",2010,1,1,2,46,0,10,54325,950,1,0
"96",2010,1,1,1,-46,0,12,60564,1130,0,0
"97",2010,0,1,2,-109,0,9,18486,840,0,1
"98",2010,1,1,1,-116,0,11,58942,1050,0,1
"99",2010,1,1,2,-11,0,10,31617,960,0,1
"100",2010,0,1,2,-81,0,11,25269,1020,0,1
"101",2010,0,1,5,-1,0,13,49494,1170,0,0
"102",2010,1,1,1,-168,0,10,71406,990,0,0
"103",2010,1,1,3,-89,0,10,44910,970,0,1
"104",2010,1,1,3,58,0,14,46548,1250,0,1
"105",2010,0,1,2,-29,0,16,44910,1360,0,0
"106",2010,1,1,1,168,0,10,76142,990,0,0
"107",2010,1,1,5,-143,0,9,40701,890,0,1
"108",2010,0,1,2,115,0,12,17830,1030,0,1
"109",2010,0,1,2,113,0,14,46109,1250,0,0
"110",2010,1,1,1,-84,0,11,59466,1030,0,0
"111",2010,1,1,1,-138,0,12,65808,1140,0,1
"112",2010,1,1,1,172,0,11,93866,1080,1,0
"113",2010,0,1,1,13,0,12,59534,1110,0,0
"114",2010,1,1,1,119,0,11,53573,1020,0,0
"115",2010,1,1,1,-94,0,19,81328,1600,0,0
"116",2010,0,1,1,58,0,9,55898,920,1,0
"117",2010,1,1,3,-86,0,11,40853,1040,0,1
"118",2010,1,1,2,115,0,7,32041,730,0,1
"119",2010,1,1,2,67,0,14,43602,1240,1,1
"120",2010,0,1,1,-116,0,15,40665,1300,1,0
"121",2010,0,1,3,138,0,11,23516,970,1,1
"122",2010,1,1,2,-74,0,11,23985,980,1,0
"123",2010,1,1,1,-58,0,15,91239,1350,1,0
"124",2010,1,1,1,101,0,10,70369,1020,0,0
"125",2010,0,1,3,-73,0,7,15110,690,0,1
"126",2010,0,1,1,87,0,13,41371,1180,1,1
"127",2010,0,1,2,-122,0,9,35032,890,0,0
"128",2010,0,1,1,96,0,9,54458,900,0,1
"129",2010,0,1,1,121,0,8,60392,820,0,0
"130",2010,0,1,4,-109,0,8,41051,790,0,0
"131",2010,0,1,1,-91,0,9,55385,900,0,0
"132",2010,1,1,1,-153,0,13,73358,1220,1,0
"133",2010,0,1,1,-152,0,8,46443,810,0,1
"134",2010,0,1,3,-121,0,15,50566,1290,0,0
"135",2011,0,1,1,37,0,15,66755,1360,1,0
"136",2011,1,1,1,84,0,8,63341,860,0,0
"137",2011,1,1,1,-42,0,9,58191,890,0,1
"138",2011,0,1,1,28,0,14,60066,1260,0,0
"139",2011,1,1,2,-179,0,9,43079,890,0,0
"140",2011,0,1,1,156,0,10,51372,960,0,0
"141",2011,0,1,3,137,0,7,23008,710,0,1
"142",2011,1,1,2,42,0,7,32840,750,0,0
"143",2011,0,1,1,50,0,13,73159,1190,1,0
"144",2011,1,1,1,-65,0,17,76542,1470,1,0
"145",2011,1,1,2,64,0,14,77484,1300,1,0
"146",2011,1,1,1,81,0,9,66454,910,0,0
"147",2011,1,1,1,-90,0,14,69106,1260,0,0
"148",2011,0,1,2,138,0,8,12031,750,0,1
"149",2011,0,1,1,58,0,8,55184,810,0,0
"150",2011,0,1,2,-110,0,14,6950,1180,0,1
"151",2011,1,1,2,169,0,10,32638,950,0,1
"152",2011,0,1,3,129,0,10,21708,900,1,0
"153",2011,0,1,2,116,0,7,17824,730,0,1
"154",2011,0,1,1,-154,0,10,63978,970,0,0
"155",2011,1,1,1,-48,0,10,88549,1010,0,0
"156",2011,0,1,1,61,0,11,34917,990,0,1
"157",2011,0,1,1,118,0,10,43254,970,0,1
"158",2011,1,1,1,25,0,12,80951,1150,0,0
"159",2011,1,1,1,86,0,19,83943,1600,1,0
"160",2011,1,1,1,179,0,8,49416,840,0,1
"161",2011,1,1,2,-60,0,10,51251,950,0,0
"162",2011,1,1,3,55,0,11,65815,1080,0,0
"163",2011,0,1,1,-161,0,10,39369,930,0,1
"164",2011,0,1,2,34,0,8,34274,800,0,0
"165",2011,1,1,1,99,0,15,80809,1340,0,0
"166",2011,1,1,3,38,0,14,56408,1230,0,0
"167",2011,1,1,1,-94,0,14,61492,1280,0,0
"168",2011,1,1,2,-34,0,13,65381,1180,0,0
"169",2011,0,1,1,114,0,10,63777,980,0,0
"170",2011,0,1,3,-8,0,8,29768,790,0,1
"171",2011,1,1,1,-118,0,10,69795,1010,0,0
"172",2011,1,1,1,67,0,12,81987,1150,0,0
"173",2011,1,1,1,-114,0,15,60339,1350,0,1
"174",2011,0,1,1,60,0,10,57625,1000,0,0
"175",2011,0,1,1,-15,0,13,33617,1160,0,1
"176",2011,0,1,1,-11,0,10,49777,960,0,0
"177",2011,0,1,1,-54,0,9,39307,880,0,1
"178",2011,0,1,5,-78,0,8,29850,770,0,0
"179",2011,0,1,2,-149,0,9,27123,860,0,1
"180",2011,1,1,3,132,0,11,40656,1010,0,1
"181",2011,0,1,1,107,0,16,61257,1420,0,0
"182",2011,0,1,1,50,0,9,47003,880,0,0
"183",2011,1,1,1,-150,0,10,57044,970,0,0
"184",2011,1,1,1,45,0,14,81814,1290,0,0
"185",2011,1,1,2,-5,0,11,69216,1060,0,0
"186",2011,1,1,5,-53,0,12,49186,1120,0,0
"187",2011,1,1,4,58,0,13,78704,1210,1,0
"188",2011,1,1,1,58,0,11,55832,1040,0,1
"189",2011,1,1,3,-153,0,11,55733,1020,0,0
"190",2011,0,1,2,-106,0,9,38475,890,0,0
"191",2011,1,1,1,-46,0,12,70183,1130,0,0
"192",2011,1,1,1,74,0,14,64208,1280,0,1
"193",2011,0,1,1,51,0,9,64966,910,0,0
"194",2011,0,1,1,-143,0,13,49135,1170,0,0
"195",2011,1,1,2,-16,0,12,27163,1080,0,1
"196",2011,0,1,2,105,0,7,19506,720,0,0
"197",2011,0,1,1,120,0,8,41683,810,0,1
"198",2011,1,1,1,-140,0,13,59263,1210,0,0
"199",2011,1,1,1,-46,0,11,62886,1070,0,1
"200",2011,0,1,2,172,0,10,30552,910,0,0
"201",2011,1,1,2,-41,0,10,40852,950,0,1
"202",2011,1,1,1,-107,0,10,59885,980,0,1
"203",2011,0,1,1,156,0,14,81177,1310,1,0
"204",2011,1,1,1,181,0,18,91850,1600,0,0
"205",2011,1,1,3,25,0,10,57288,960,0,0
"206",2011,1,1,2,13,0,17,68924,1460,1,0
"207",2011,1,1,2,100,0,14,74344,1270,0,0
"208",2011,1,1,3,-86,0,13,68066,1210,0,0
"209",2011,1,1,3,-158,0,12,61932,1120,1,0
"210",2011,1,1,1,-50,0,13,72977,1200,0,0
"211",2011,1,1,2,164,0,11,44349,1040,0,0
"212",2011,0,1,1,33,0,17,37220,1430,0,1
"213",2011,1,1,1,4,0,12,62272,1120,0,0
"214",2011,1,1,3,-123,0,15,55776,1320,0,0
"215",2011,1,1,1,50,0,10,92409,1050,0,0
"216",2011,0,1,4,-6,0,7,16034,720,0,1
"217",2011,0,1,4,44,0,9,25730,870,1,1
"218",2011,0,1,1,-117,0,9,72127,940,0,0
"219",2011,1,1,2,17,0,11,50879,1020,0,0
"220",2011,1,1,1,-58,0,14,74702,1300,0,0
"221",2011,0,1,3,-4,0,12,28194,1060,0,1
"222",2011,1,1,1,60,0,11,88803,1100,0,0
"223",2011,1,1,1,92,0,8,52381,850,0,1
"224",2011,1,1,3,110,0,9,38555,870,0,1
"225",2011,0,1,1,64,0,9,39662,860,0,1
"226",2011,1,1,1,107,0,9,44395,890,0,1
"227",2011,0,1,3,-156,0,9,40147,900,0,0
"228",2011,1,1,2,104,0,14,51193,1250,0,0
"229",2011,1,1,1,171,0,8,54529,830,0,1
"230",2011,1,1,1,-126,0,10,63308,970,0,1
"231",2011,1,1,2,-47,0,8,49372,830,0,0
"232",2011,1,1,2,66,0,9,39884,900,0,0
"233",2011,0,1,3,116,0,10,29281,910,1,1
"234",2011,0,1,1,172,0,9,41614,860,0,1
"235",2011,1,1,1,139,0,13,63822,1170,0,1
"236",2011,1,1,1,43,0,8,62449,860,0,1
"237",2011,0,1,1,123,0,14,52643,1250,0,1
"238",2011,1,1,1,-111,0,13,70038,1220,0,0
"239",2011,1,1,1,0,0,17,89910,1490,0,0
"240",2011,1,1,1,59,0,16,72199,1390,0,0
"241",2011,0,1,1,-40,0,12,75522,1130,1,0
"242",2011,0,1,1,-168,0,8,37286,820,0,1
"243",2011,0,1,1,-46,0,11,40114,1040,0,1
"244",2011,0,1,1,108,0,12,55623,1130,0,0
"245",2011,0,1,3,18,0,10,30818,910,0,1
"246",2011,0,1,4,-135,0,11,46292,1020,0,0
"247",2011,0,1,2,150,0,7,14232,700,0,1
"248",2011,1,1,1,-165,0,15,88867,1390,1,0
"249",2011,0,1,1,-148,0,10,37083,920,0,1
"250",2011,0,1,2,-178,0,9,46638,910,0,0
"251",2011,0,1,1,-142,0,10,34737,960,0,1
"252",2011,1,1,1,144,0,9,49466,870,0,1
"253",2011,0,1,3,-155,0,10,41802,970,0,0
"254",2011,1,1,1,-2,0,14,53832,1250,0,0
"255",2011,0,1,3,14,0,12,34796,1060,0,0
"256",2011,0,1,1,-127,0,16,75904,1430,1,0
"257",2011,1,1,1,108,0,14,77995,1280,0,0
"258",2011,0,1,1,75,0,14,75776,1260,1,0
"259",2011,0,1,2,48,0,8,38744,830,0,0
"260",2011,1,1,1,62,0,11,69107,1060,0,0
"261",2011,0,1,2,98,0,11,48185,1030,0,0
"262",2011,0,1,1,-178,0,9,44340,880,0,1
"263",2011,1,1,2,-33,0,9,53378,900,0,0
"264",2011,1,1,4,78,0,17,54333,1470,0,1
"265",2011,1,1,1,-134,0,10,77188,1010,0,0
"266",2011,1,1,1,181,0,9,58769,900,1,1
"267",2011,1,1,1,-21,0,10,76140,980,1,0
"268",2011,0,1,1,-14,0,13,40199,1180,1,1
"269",2011,0,1,3,-64,0,15,42598,1320,0,0
"270",2011,1,1,1,-77,0,10,61204,1000,0,0
"271",2011,1,1,5,55,0,14,75144,1280,0,0
"272",2011,0,1,3,54,0,11,63274,1070,0,0
"273",2011,1,1,3,-137,0,9,51806,920,0,0
"274",2011,0,1,1,159,0,8,42949,820,0,1
"275",2011,0,1,4,-27,0,12,55583,1130,0,0
"276",2011,1,1,2,-4,0,10,42136,960,0,1
"277",2011,0,1,1,-78,0,14,50068,1230,1,1
"278",2012,0,1,3,-89,0,14,46886,1250,0,0
"279",2012,0,1,1,-179,0,20,48303,1600,1,0
"280",2012,1,1,1,133,0,10,69303,970,1,0
"281",2012,1,1,2,179,0,9,36656,890,0,1
"282",2012,1,1,1,-139,0,15,79703,1360,0,0
"283",2012,1,1,2,70,0,10,44764,940,0,0
"284",2012,0,1,1,-117,0,9,44042,880,0,1
"285",2012,1,1,1,-65,0,13,85798,1250,1,0
"286",2012,0,1,1,-159,0,11,55163,1050,0,0
"287",2012,0,1,1,27,0,10,50329,940,0,0
"288",2012,0,1,1,107,0,10,39794,940,0,1
"289",2012,1,1,3,73,0,12,59698,1140,0,0
"290",2012,0,1,1,-101,0,12,60569,1110,0,0
"291",2012,1,1,1,-11,0,14,81597,1310,1,0
"292",2012,0,1,2,-48,0,9,30517,890,0,0
"293",2012,1,1,2,-157,0,10,34596,920,0,1
"294",2012,0,1,1,75,0,11,56190,1030,0,0
"295",2012,1,1,3,-158,0,14,71173,1270,0,0
"296",2012,1,1,1,40,0,15,63217,1320,0,0
"297",2012,0,1,1,-23,0,12,48878,1080,0,1
"298",2012,1,1,2,-144,0,11,40617,1020,0,1
"299",2012,0,1,3,115,0,11,22815,1000,0,0
"300",2012,1,1,3,162,0,15,41365,1280,0,0
"301",2012,1,1,1,41,0,15,89327,1360,1,0
"302",2012,1,1,1,-28,0,21,76557,1600,1,0
"303",2012,0,1,2,-167,0,10,27681,910,0,0
"304",2012,0,1,1,-62,0,12,36426,1080,0,1
"305",2012,0,1,1,104,0,8,36073,800,0,1
"306",2012,0,1,1,81,0,14,49546,1220,1,0
"307",2012,0,1,3,-31,0,10,46930,950,0,0
"308",2012,0,1,2,112,0,13,25805,1140,0,0
"309",2012,0,1,3,139,0,15,61328,1310,1,0
"310",2012,1,1,1,11,0,10,57582,980,0,0
"311",2012,1,1,1,178,0,11,66517,1080,0,1
"312",2012,0,1,1,28,0,11,45387,1050,0,1
"313",2012,1,1,3,140,0,14,58006,1240,0,0
"314",2012,0,1,2,-120,0,10,41639,970,0,0
"315",2012,1,1,1,-34,0,15,70350,1340,0,0
"316",2012,1,1,4,-90,0,12,65932,1150,0,0
"317",2012,1,1,3,-129,0,14,46898,1250,0,0
"318",2012,0,1,1,-148,0,11,55263,1020,0,1
"319",2012,0,1,1,-61,0,18,49128,1540,1,1
"320",2012,1,1,1,-86,0,15,79940,1350,0,0
"321",2012,1,1,3,174,0,10,39861,950,0,1
"322",2012,0,1,1,62,0,14,56269,1230,0,0
"323",2012,1,1,1,-115,0,15,71262,1350,0,0
"324",2012,1,1,1,-152,0,15,61441,1330,1,0
"325",2012,1,1,1,-38,0,14,79473,1310,0,0
"326",2012,0,1,1,33,0,15,47116,1290,0,1
"327",2012,0,1,1,-45,0,16,65483,1410,1,0
"328",2012,1,1,1,138,0,11,93189,1080,0,0
"329",2012,0,1,1,165,0,18,69162,1560,0,0
"330",2012,1,1,1,-66,0,14,57502,1260,1,1
"331",2012,1,1,1,165,0,10,60583,960,0,1
"332",2012,1,1,1,34,0,9,60118,910,0,1
"333",2012,0,1,1,-6,0,11,68571,1060,0,0
"334",2012,1,1,3,179,0,12,66634,1140,0,0
"335",2012,0,1,2,-8,0,14,11013,1190,0,1
"336",2012,0,1,2,-21,0,13,38972,1170,0,0
"337",2012,0,1,1,-108,0,11,55171,1030,0,0
"338",2012,0,1,1,159,0,12,86775,1140,0,0
"339",2012,1,1,3,-37,0,10,44119,980,0,0
"340",2012,1,1,1,175,0,11,69202,1050,0,0
"341",2012,0,1,1,127,0,12,59770,1120,0,0
"342",2012,1,1,1,-131,0,13,60203,1170,0,1
"343",2012,1,1,3,-24,0,12,34550,1080,0,1
"344",2012,1,1,4,-66,0,11,64115,1060,0,0
"345",2012,1,1,1,-128,0,18,65020,1530,0,0
"346",2012,1,1,1,101,0,12,67790,1140,0,0
"347",2012,1,1,1,156,0,15,51123,1310,1,1
"348",2012,0,1,4,-107,0,10,27085,910,0,1
"349",2012,1,1,3,132,0,10,55038,960,0,0
"350",2012,1,1,1,-44,0,13,65422,1210,0,0
"351",2012,1,1,1,-102,0,12,93507,1190,0,0
"352",2012,1,1,2,-144,0,12,28974,1050,0,1
"353",2012,0,1,1,62,0,9,53516,900,0,0
"354",2012,1,1,1,162,0,12,51670,1120,0,0
"355",2012,0,1,1,-64,0,15,49462,1320,0,1
"356",2012,0,1,4,47,0,10,30997,910,0,1
"357",2012,1,1,1,133,0,19,68483,1600,0,0
"358",2012,1,1,1,-164,0,16,57660,1390,0,1
"359",2012,1,1,1,-148,0,18,65716,1560,0,1
"360",2012,1,1,1,28,0,15,57443,1330,1,0
"361",2012,0,1,3,-84,0,10,35910,960,0,0
"362",2012,0,1,2,-153,0,12,31129,1050,1,0
"363",2012,1,1,1,19,0,12,69726,1150,0,0
"364",2012,0,1,1,-93,0,12,70785,1130,0,0
"365",2012,0,1,4,159,0,11,45645,1030,0,0
"366",2012,0,1,1,119,0,14,45217,1240,0,0
"367",2012,1,1,1,-7,0,10,58981,990,1,1
"368",2012,0,1,1,4,0,10,64515,990,0,0
"369",2012,1,1,1,24,0,16,78721,1400,1,0
"370",2012,1,1,2,-145,0,13,57579,1190,0,0
"371",2012,1,1,1,149,0,10,70182,1000,0,0
"372",2012,0,1,1,-21,0,20,59290,1600,1,0
"373",2012,1,1,1,-79,0,10,52273,950,0,0
"374",2012,0,1,2,11,0,11,34227,1020,0,0
"375",2012,1,1,3,32,0,13,35117,1150,1,1
"376",2012,1,1,1,-59,0,13,64593,1180,0,0
"377",2012,0,1,2,178,0,8,12295,770,0,1
"378",2012,1,1,1,97,0,15,70032,1360,0,0
"379",2012,0,1,3,-47,0,8,19027,770,0,1
"380",2012,1,1,1,7,0,12,75228,1130,0,0
"381",2012,0,1,2,67,0,12,13655,1060,0,1
"382",2012,1,1,2,86,0,13,61331,1200,0,0
"383",2012,0,1,2,75,0,9,20696,840,0,0
"384",2012,0,1,1,165,0,10,55896,970,0,0
"385",2012,1,1,1,-176,0,11,64569,1060,0,1
"386",2012,1,1,1,80,0,11,77569,1090,1,0
"387",2012,0,1,1,109,0,13,40400,1140,0,1
"388",2012,1,1,2,72,0,15,52190,1290,0,0
"389",2012,1,1,1,166,0,16,86313,1430,0,0
"390",2012,0,1,1,165,0,10,69171,990,0,0
"391",2012,1,1,1,-27,0,14,64147,1250,0,1
"392",2012,0,1,4,4,0,12,57174,1120,0,0
"393",2012,1,1,4,90,0,15,65233,1320,0,0
"394",2012,1,1,2,-124,0,10,36793,950,0,1
"395",2012,1,1,1,-88,0,11,61072,1070,0,0
"396",2012,1,1,1,-33,0,17,69623,1500,0,1
"397",2012,0,1,1,-135,0,12,54526,1100,0,0
"398",2012,0,1,1,-105,0,13,60840,1170,0,0
"399",2012,0,1,2,-104,0,11,5108,970,0,1
"400",2012,0,1,1,155,0,10,63302,990,0,0
"401",2012,0,1,3,-26,0,8,23632,800,0,0
"402",2012,1,1,1,107,0,12,91302,1150,0,0
"403",2012,0,1,2,-92,0,12,44967,1090,1,0
"404",2012,0,1,3,-53,0,13,33926,1140,0,0
"405",2012,1,1,1,-167,0,10,59544,980,0,1
"406",2012,0,1,2,72,0,12,26739,1080,0,1
"407",2013,0,1,1,-96,0,13,44264,1140,0,0
"408",2013,0,1,1,-65,0,12,58686,1140,1,0
"409",2013,1,1,1,105,0,20,81445,1600,1,0
"410",2013,1,1,1,-168,0,11,60086,1070,0,0
"411",2013,0,1,3,-159,0,13,27244,1140,0,1
"412",2013,0,1,4,-180,0,10,61836,990,0,0
"413",2013,0,1,3,166,0,14,58411,1230,1,0
"414",2013,1,1,1,91,0,11,60683,1050,0,1
"415",2013,0,1,2,61,0,12,33405,1080,1,0
"416",2013,0,1,1,150,0,11,75984,1090,0,0
"417",2013,1,1,1,114,0,19,70975,1600,0,0
"418",2013,1,1,1,57,0,12,65651,1130,0,0
"419",2013,1,1,1,105,0,10,73070,980,0,0
"420",2013,0,1,1,-99,0,12,43040,1070,0,0
"421",2013,0,1,1,79,0,10,52837,950,0,0
"422",2013,1,1,1,92,0,14,83674,1310,0,0
"423",2013,0,1,1,118,0,12,40457,1100,1,1
"424",2013,1,1,1,-131,0,11,81822,1090,0,0
"425",2013,1,1,3,54,0,12,64251,1120,0,0
"426",2013,0,1,1,66,0,9,45297,880,0,0
"427",2013,0,1,2,39,0,8,25708,790,1,0
"428",2013,1,1,1,-101,0,12,52229,1130,0,0
"429",2013,1,1,1,43,0,12,86947,1160,1,0
"430",2013,0,1,1,166,0,11,57440,1050,0,0
"431",2013,0,1,1,-116,0,10,57674,1000,0,0
"432",2013,0,1,1,-178,0,12,56172,1090,0,0
"433",2013,0,1,3,-103,0,9,2753,810,1,0
"434",2013,1,1,5,178,0,11,63070,1040,0,0
"435",2013,0,1,1,-48,0,10,56731,990,0,0
"436",2013,1,1,1,-70,0,13,85019,1220,0,0
"437",2013,0,1,3,-13,0,11,28740,980,0,0
"438",2013,1,1,1,-151,0,16,56267,1370,1,1
"439",2013,1,1,3,-134,0,13,32908,1130,0,1
"440",2013,0,1,1,-108,0,16,45379,1370,1,0
"441",2013,1,1,1,18,0,14,73203,1290,0,0
"442",2013,1,1,1,116,0,11,98196,1110,0,0
"443",2013,0,1,1,-82,0,11,47992,1040,0,0
"444",2013,1,1,1,16,0,11,63852,1070,0,1
"445",2013,0,1,1,93,0,16,40486,1380,1,1
"446",2013,1,1,1,168,0,9,59940,920,0,0
"447",2013,0,1,1,151,0,13,60418,1200,1,0
"448",2013,1,1,1,-159,0,12,52116,1130,0,1
"449",2013,0,1,2,169,0,12,14711,1030,0,1
"450",2013,0,1,2,-114,0,9,21487,830,0,1
"451",2013,0,1,2,92,0,12,25121,1040,0,0
"452",2013,0,1,2,55,0,9,52941,880,0,0
"453",2013,0,1,1,30,0,10,43360,970,1,1
"454",2013,1,1,1,-36,0,16,76717,1410,0,0
"455",2013,0,1,1,-2,0,10,63527,990,0,0
"456",2013,0,1,3,176,0,8,33295,800,0,0
"457",2013,1,1,2,57,0,11,36948,1010,0,0
"458",2013,1,1,3,93,0,10,51242,950,0,0
"459",2013,1,1,1,-149,0,11,67050,1070,0,0
"460",2013,0,1,2,-51,0,12,34273,1060,0,0
"461",2013,1,1,1,122,0,11,47846,1030,0,1
"462",2013,1,1,1,40,0,14,47385,1260,0,1
"463",2013,0,1,2,-17,0,11,13701,980,1,1
"464",2013,1,1,2,-90,0,9,27286,840,0,1
"465",2013,1,1,1,152,0,12,70966,1150,0,0
"466",2013,1,1,2,124,0,9,32438,860,0,0
"467",2013,0,1,1,59,0,10,72719,1000,0,0
"468",2013,1,1,1,172,0,12,67086,1150,0,0
"469",2013,1,1,2,127,0,12,34142,1070,0,0
"470",2013,1,1,1,-123,0,12,55931,1130,0,1
"471",2013,0,1,1,-164,0,13,46376,1190,0,0
"472",2013,0,1,2,-107,0,10,27943,910,0,0
"473",2013,0,1,2,9,0,21,42807,1600,0,0
"474",2013,0,1,1,119,0,9,32924,870,0,1
"475",2013,1,1,1,-25,0,10,60313,970,0,0
"476",2013,1,1,3,-28,0,17,64028,1460,1,0
"477",2013,1,1,1,20,0,16,77228,1410,1,0
"478",2013,1,1,1,57,0,10,66667,990,0,0
"479",2013,0,1,1,6,0,13,46646,1180,0,0
"480",2013,0,1,2,-164,0,9,28480,880,0,0
"481",2013,0,1,1,-114,0,11,34645,1000,0,0
"482",2013,1,1,4,-119,0,10,54963,990,0,0
"483",2013,1,1,1,38,0,15,53947,1340,1,0
"484",2013,1,1,1,-113,0,12,73315,1150,0,0
"485",2013,0,1,2,38,0,12,30244,1080,1,0
"486",2013,1,1,2,-85,0,14,30118,1220,1,1
"487",2013,0,1,4,63,0,12,38642,1100,0,0
"488",2013,0,1,3,167,0,7,19187,700,0,1
"489",2013,1,1,1,-76,0,15,68815,1340,0,0
"490",2013,1,1,2,70,0,10,58409,990,0,0
"491",2013,0,1,1,-12,0,13,63995,1170,0,0
"492",2013,1,1,1,-42,0,14,59906,1250,0,0
"493",2013,0,1,2,-5,0,9,40175,900,0,0
"494",2013,1,1,1,-85,0,17,58140,1480,1,0
